;Lines_of_Code_LOC;McCabe_Cyclomatic_Complexity_CC;Weighted_Methods_per_Class_WMC;Lack_of_Cohesion_of_Methods_LCOM;Afferent_Couplings_Ca;Efferent_Couplings_Ce;Dynamic_Coupling_Between_Objects_DCBO;Object_Method_Invocations_OMI;Distinct_Classes_DC;Distinct_Method_Invocations_DMI;Availability_AV;Successability_SU;Accessability_AC;Bugs;Quality_Perception(Average);Quality_Perception(Median)
Artist-RegistryWS;322;1,56;14,2;0,39;0;4;1,5;1,846;1,707;9,864;1;1;0,929;1;3,5;3,5
Code2webWS;565;2,26;7,6;0,24;0;10;2;3,375;1,5;22,998;1;1;0,783;1;4,9;5
ComputeUnitsWS;4947;3,02;25,604;0,251;0;48;3,178;3,679;1,551;256,915;1;0,977;0,789;2;1,9;2
CSVGeneratorWS;1395;1,897;10,433;0,334;25;29;2,83;;2,043;;1;0,994;0,861;2;3,2;3
CurrencyConverterWS;92;3,167;9,5;0;0;2;1;1;1;4;1;1;0,879;2;5;5
ExcelToSqlWS;91;2;2;0;0;2;4;7;4;14;1;0,985;0,882;1;4,2;5
HtmlToExcelWS;68;2,5;5;0;2;0;5;6,5;5;13;1;1;0,924;3;3,1;3
HtmlToJspConverterWS;110;1,875;7,5;0,25;0;2;1;2;1;2;1;1;0,879;0;4,5;5
HtmlToLaTexWS;1417;2,66;16,43;0,26;3,86;3,57;5,495;3,353;2,347;94,475;0,95;1;0,86;0;5,1;5
JavaToCSharpWS;194;2,417;5,8;0;0;5;1;2;1,333;5;1;1;0,804;1;5,2;6
JavaToPythonWS;1356;3,326;74;0,333;0;4;8,723;3,168;2,322;52,139;1;0,472;0,789;4;4,6;5
MoneyToStringConverterWS;193;7,714;27;0;0;2;1;2,328;1,333;6,983;1;1;0,95;2;4,7;5
NumberToWordWS;75;7,5;7,5;0;0;2;1;1;1;2;1;1;0,924;2;5,5;6
NumericalConverterWS;583;5,64;28,2;0;0;5;2,904;1,129;1;6,776;1;0,977;0,943;3;4,5;5
PasswordGeneratorWS;594;4,21;32,75;0,21;0;4;1,5;1,615;1,077;15,984;1;1;0,861;7;3,2;3
RandomDataGeneratorWS;1842;5,778;58,5;0,062;4;8;3,661;6,047;2,649;107,961;1;0,988;0,891;3;2,9;2
RomanNumbersConverterWS;278;2,45;13,75;0;0;5;1,994;1,333;1;7,976;1;0,442;0,798;2;5,3;6
SecurePasswordGeneratorWS;108;3,2;8;0;2;0;1;1,5;1;3;1;0,413;0,813;8;3,4;4
XMLtoRDFConverterWS;451;1,545;10,625;0,452;0;8;4,198;4,443;2,237;61,609;1;1;0,846;0;5,2;5
YaHP-ConverterWS;6058;5,542;42,652;0,317;4;23;2,75;2,579;1,527;38;1;0,844;0,121;3;2,2;2
